Date;Profile;Message;Post comments positive sentiment share;Profile-ID;Post-ID;Link;Image Link;
17/06/2025, 22:07;"CONCAD";"*Concad e Azul Linhas Aéreas ampliam descontos em passagens para a advocacia*

A Coordenação Nacional das Caixas de Assistência dos Advogados (Concad) anuncia uma nova fase do convênio com a Azul Linhas Aéreas, com descontos maiores em passagens para voos nacionais e internacionais. 

Segundo o presidente da Concad, Rodrigo Farias, “é uma nova promoção no já existente convênio entre a Azul, a Concad e o Conselho Federal da OAB pensada para as férias de advocacia”.

Para os voos domésticos, o desconto padrão do convênio é de 8%. Com a nova ação, o percentual pode chegar a 15% em passagens emitidas até 31 de agosto, com embarque até essa mesma data. O valor do desconto varia conforme a classe tarifária. Nas categorias V, OO e UU, mantém-se o abatimento habitual. Já nas demais, como L, M e H, aplica-se o percentual ampliado. 

Para destinos internacionais — Lisboa, Porto, Madrid, Fort Lauderdale, Orlando e Paris — o desconto contratual é de 7%, exceto nas classes Y e C. Na nova condição, o abatimento pode chegar a 12% para bilhetes emitidos até 30 de outubro, com viagens realizadas até essa data. Para Paris, o prazo de embarque termina em 20 de outubro. As classes X e Z, na categoria econômica, não estão incluídas na promoção. 

Voos operados em codeshare, em parceria com outras companhias, não são elegíveis aos descontos.

*Para usufruir dos descontos, acesse o site  https://concad.oab.org.br/convenios-nacionais*";;17841406678046143;18058003547196225;https://www.instagram.com/reel/DLBepALI0QN/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18058003547196225&access_token=59ixRLdFpAErsT2zgcVO;
25/05/2025, 11:34;"CONCAD";"-";;17841406678046143;18064855682011355;https://www.instagram.com/reel/DKFHweBR5aS/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18064855682011355&access_token=59ixRLdFpAErsT2zgcVO;
23/05/2025, 17:44;"CONCAD";"-";;17841406678046143;18058865114268951;https://www.instagram.com/reel/DKAoq52ypiM/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18058865114268951&access_token=59ixRLdFpAErsT2zgcVO;
07/04/2025, 15:16;"CONCAD";"-";;17841406678046143;17977052225821724;https://www.instagram.com/p/DIJ7Nq1PpU9/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=17977052225821724&access_token=59ixRLdFpAErsT2zgcVO;
07/04/2025, 15:10;"CONCAD";"-";;17841406678046143;18135566644367013;https://www.instagram.com/p/DIJ6llVvjXm/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18135566644367013&access_token=59ixRLdFpAErsT2zgcVO;
07/04/2025, 15:07;"CONCAD";"-";;17841406678046143;18023850128477513;https://www.instagram.com/p/DIJ6OqKvR_y/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18023850128477513&access_token=59ixRLdFpAErsT2zgcVO;
07/04/2025, 15:07;"CONCAD";"-";;17841406678046143;18497067667000493;https://www.instagram.com/p/DIJ6LHAP6Av/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18497067667000493&access_token=59ixRLdFpAErsT2zgcVO;
18/03/2025, 19:31;"CONCAD";"-";;17841406678046143;17930810288908213;https://www.instagram.com/p/DHW4h4iShYS/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=17930810288908213&access_token=59ixRLdFpAErsT2zgcVO;
18/03/2025, 17:28;"CONCAD";"Encontro Presidentes de Caixas de Assistência dos Advogados 
CFOAB/CONCAD";;17841406678046143;17958808319868354;https://www.instagram.com/p/DHWqduLy4lW/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=17958808319868354&access_token=59ixRLdFpAErsT2zgcVO;
18/03/2025, 00:51;"CONCAD";"Dia de muitas reuniões no CFOAB/CONCAD em prol das Caixas de Assistências e da Advocacia.";;17841406678046143;18070162237862918;https://www.instagram.com/p/DHU4TW5txYV/;https://us-central1-fanpagekarma.cloudfunctions.net/img_in?mediaId=18070162237862918&access_token=59ixRLdFpAErsT2zgcVO;
